rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,personal_valid
You should protect your personal and financial identity.,Protecting your personal and financial identity.,Shuffled Credit Cards Are Passed Along Unnoticed,personal-psychological,high_agreement,4,1,>99%,dearabby,1
It's important that if you're self-harming that you try to seek help.,"if you're self-harming, trying to seek help.",telling someone I cut myself again,personal-psychological,high_agreement,4,1,>99%,amitheasshole,1
You should investigate a crash in your child's room.,investigating a crash in your child's room,Suddenly she heard a huge crash in her son's room.,personal-psychological,high_agreement,4,0,>99%,rocstories,1
It's okay to have your own unique expressions,Having your own unique expressions,I use the word literally figuratively.,personal-psychological,high_agreement,4,0,>99%,confessions,1
"If you are braking your bike for a reason, you should warn your friend when they pass you.",warning your friend when they pass you when you are braking your bike,Corey's friend passed Corey on his bike.,personal-psychological,high_agreement,3,0,75-90%,rocstories,1
It is okay to feel bad about your negative emotions towards others.,feeling bad about your negative emotions towards others.,I kinda hate my roommate and I feel awful that I do,personal-psychological,high_agreement,3,0,75-90%,confessions,1
You should get over self image problems.,getting over self image problems.,"I have self image problems, but know one to truely evaluate me because they all know about my past.",personal-psychological,high_agreement,4,0,>99%,confessions,1
It becomes necessary to own a personal vehicle when public transportation is limited.,owning a personal vehicle when public transportation is limited.,So she decided to she would only use public transportation.,personal-psychological,high_agreement,3,2,75-90%,rocstories,1
It's okay to want to keep some things private.,wanting to keep some things private.,I secretly got married today,personal-psychological,high_agreement,3,0,75-90%,confessions,1
You should be accepting of having a half-sibling,accepting of having a half-sibling,First-Time Mom Keeps Stepson's Feelings in Mind,personal-psychological,high_agreement,3,0,75-90%,dearabby,1
It's good to teach your child basic life skills.,teaching your child basic life skills,potty training my child,personal-psychological,high_agreement,3,1,75-90%,amitheasshole,1
Partners should not try to parent each other.,Partners trying to parent each other.,getting mad at my boyfriend for getting drunk,personal-psychological,high_agreement,3,-1,75-90%,amitheasshole,1
You should not give up on personal happiness.,not giving up on personal happiness.,I’ll never be contented.,personal-psychological,high_agreement,4,0,>99%,confessions,1
It's good to look out for the best interest of a friend.,looking out for the best interest of a friend,telling my friend their crush is not interested in them and to move on,personal-psychological,high_agreement,4,1,>99%,amitheasshole,1
It's okay to be upset when you think your mom is cheating.,being upset when you think your mom is cheating.,accusing my mom of cheating because of what I saw in her chats,personal-psychological,high_agreement,4,0,>99%,amitheasshole,1
It's acceptable make a suggestion to an acquaintance that is in their best interest.,making a suggestion to an acquaintance that is in their best interest.,suggesting an acne medication to an acquaintance,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1
It is good to want to improve the person you are as a dad.,wanting to improve the person you are as a dad.,I am a terrible father but I love my kids more than life. I don't know how to recover,personal-psychological,high_agreement,3,2,75-90%,confessions,1
It is good to give your child things that make them happy.,giving your child things that make them happy.,"When I was 18, I was depressed and cried until my mommy and daddy let me get a nose job",personal-psychological,high_agreement,4,1,>99%,confessions,1
It's good to discuss private things with your partner.,discussing private things with your partner.,asking my bf about his religion,personal-psychological,high_agreement,3,1,75-90%,amitheasshole,1
You shouldn't put too much faith in people's identity online because they may be misrepresenting themselves.,putting too much faith in people's identity online when they may be misrepresenting themselves.,"Just had a huge argument with my mum, throwaway account",personal-psychological,high_agreement,3,0,75-90%,confessions,1
